GroupFile,GroupType,SymbolName,Value,ApplicableUIFunctions,Notes,,,,,,,,,,,,,,,,,,,,,
constants.uc,constant,LOOP_ONCE,-1,,Single constant; no direct mapping to UI intrinsics, but may be used in general usecode loops (not intrinsic-specific).,,,,,,,,,,,,,,,,,,,,
constants.uc,events,PROXIMITY,0,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  NORTH from directions, MIDNIGHT from day_periods, INVISIBLE from item_flags, IN_COMBAT from schedules, STAND from npc_frames, NORTH_FRAMESET from frame_offsets, BG_BACKPACK from inv_slots_bg, SI_SHIELD_HAND from inv_slots_si, SI_OFF_HAND from inv_slots_si, STRENGTH from npc_properties, NEAREST from npc_attack_modes, CACHED_IN from egg_states, NEUTRAL from alignments, CLEAR_WEATHER from weather_types, NORMAL_DAMAGE from damage_types, FACE_AVATAR from face_names, FRAME_COLUMNA_YOUNG from face_frames, FRAME_GHOST_BALD from face_frames, FRAME_BATLIN_WITH_MEDALLION from face_frames, SPRITE_0 from sprites,,
constants.uc,events,DOUBLECLICK,1,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  NORTHEAST from directions, EARLY from day_periods, ASLEEP from item_flags, PACE_HORIZONTAL from schedules, WALK_1 from npc_frames, BG_WEAPON_HAND from inv_slots_bg, SI_WEAPON_HAND from inv_slots_si, DEXTERITY from npc_properties, WEAKEST from npc_attack_modes, CURSOR_X from cursors, PARTY_NEAR from egg_states, GOOD from alignments, SNOWING from weather_types, FIRE_DAMAGE from damage_types, FACE_DUPRE from face_names, FRAME_COLUMNA_OLD from face_frames, FRAME_GHOST_HAIR from face_frames, FRAME_BATLIN_WITHOUT_MEDALLION from face_frames, ANIMATION_BIG_BLAST from sprite_effects, SPRITE_BIG_EXPLOSION from sprites,,
constants.uc,events,SCRIPTED,2,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  EAST from directions, DAWN from day_periods, CHARMED from item_flags, PACE_VERTICAL from schedules, WALK_2 from npc_frames, BG_SHIELD_HAND from inv_slots_bg, BG_OFF_HAND from inv_slots_bg, SI_CLOAK from inv_slots_si, INTELLIGENCE from npc_properties, STRONGEST from npc_attack_modes, CURSOR_OUT_OF_RANGE from cursors, AVATAR_NEAR from egg_states, EVIL from alignments, RAIN from weather_types, MAGIC_DAMAGE from damage_types, FACE_SHAMINO from face_names, FRAME_FRIGIDAZZI_NAKED from face_frames, FRAME_GHOST_SMIRK from face_frames, ANIMATION_BIG_CLOUDS from sprite_effects, FRAME_IOLOS_LUTE from lute_frames, SPRITE_OVERHEAD_CLOUDS from sprites,
constants.uc,events,EGG,3,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  SOUTHEAST from directions, MORNING from day_periods, CURSED from item_flags, TALK from schedules, USE from npc_frames, BG_BELT from inv_slots_bg, SI_AMULET from inv_slots_si, HEALTH from npc_properties, BERSERK from npc_attack_modes, CURSOR_OUT_OF_AMMO from cursors, AVATAR_FAR from egg_states, CHAOTIC from alignments, SPARKLE from weather_types, LIGHTNING_DAMAGE from damage_types, POISON_DAMAGE from damage_types, STARVATION_DAMAGE from damage_types, FREEZING_DAMAGE from damage_types, FACE_IOLO from face_names, ANIMATION_CLOUDS from sprite_effects, SPRITE_TRAP_CLOUDS3 from sprites,,
constants.uc,events,WEAPON,4,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  SOUTH from directions, NOON from day_periods, DEAD from item_flags, DANCE from schedules, SWING_1 from npc_frames, BG_NECK from inv_slots_bg, SI_HEAD from inv_slots_si, COMBAT from npc_properties, PROTECT from npc_attack_modes, CURSOR_TOO_HEAVY from cursors, AVATAR_FOOTPAD from egg_states, FOG from weather_types, ETHEREAL_DAMAGE from damage_types, FACE_ANDRIO from face_names, ANIMATION_MEDIUM_BLAST from sprite_effects, FRAME_BATLINS_MEDALLION from amulet_frames, SPRITE_MEDIUM_EXPLOSION from sprites,,,,,
constants.uc,events,READIED,5,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  SOUTHWEST from directions, AFTERNOON from day_periods, EAT from schedules, SWING_2 from npc_frames, BG_TORSO from inv_slots_bg, SI_GLOVES from inv_slots_si, MANA from npc_properties, DEFEND from npc_attack_modes, CURSOR_WONT_FIT from cursors, PARTY_FOOTPAD from egg_states, OVERCAST from weather_types, SONIC_DAMAGE from damage_types, ANIMATION_SMALL_BLAST from sprite_effects, FRAME_DIAMOND_NECKLACE from amulet_frames, SPRITE_SMALL_EXPLOSION from sprites,,,,,,,
constants.uc,events,UNREADIED,6,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  WEST from directions, EVENING from day_periods, IN_PARTY from item_flags, FARM from schedules, SWING_3 from npc_frames, BG_LEFT_RING from inv_slots_bg, SI_USECODE from inv_slots_si, MAX_MANA from npc_properties, FLANK from npc_attack_modes, SOMETHING_ON from egg_states, CLOUDY from weather_types, ANIMATION_CLOUDS2 from sprite_effects, SPRITE_TRAP_CLOUDS6 from sprites,,,,,,,,,
constants.uc,events,DEATH,7,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  BG_PATH_SUCCESS from events, NORTHWEST from directions, NIGHT from day_periods, PARALYZED from item_flags, PARALYSED from item_flags, TEND_SHOP from schedules, SWING_2H_1 from npc_frames, BG_RIGHT_RING from inv_slots_bg, SI_RIGHT_RING from inv_slots_si, TRAINING from npc_properties, FLEE from npc_attack_modes, EXTERNAL_CRITERIA from egg_states, ANIMATION_TELEPORT from sprite_effects, SPRITE_TELEPORT_HERE from sprites,,,,,,,,
constants.uc,events,STARTED_TALKING,9,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  PATH_SUCCESS_9 from events, PROTECTION from item_flags, HOUND from schedules, SWING_2H_3 from npc_frames, BG_HEAD from inv_slots_bg, SI_EARS from inv_slots_si, FOODLEVEL from npc_properties, MANUAL from npc_attack_modes, ANIMATION_POOF from sprite_effects, SPRITE_FAIL_GRAY from sprites,,,,,,,,,,,,
constants.uc,events,BG_PATH_SUCCESS,7,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with DEATH from events, , NORTHWEST from directions, NIGHT from day_periods, PARALYZED from item_flags, PARALYSED from item_flags, TEND_SHOP from schedules, SWING_2H_1 from npc_frames, BG_RIGHT_RING from inv_slots_bg, SI_RIGHT_RING from inv_slots_si, TRAINING from npc_properties, FLEE from npc_attack_modes, EXTERNAL_CRITERIA from egg_states, ANIMATION_TELEPORT from sprite_effects, SPRITE_TELEPORT_HERE from sprites,,,,,,,
constants.uc,events,BG_PATH_FAILURE,8,UI_path_run_usecode;UI_si_path_run_usecode;UI_set_path_failure,Overlaps with  POISONED from item_flags, MINE from schedules, MINER from schedules, SWING_2H_2 from npc_frames, BG_QUIVER from inv_slots_bg, SI_LEFT_RING from inv_slots_si, EXPERIENCE from npc_properties, RANDOM from npc_attack_modes, ANIMATION_DEATH_VORTEX from sprite_effects, FRAME_WHITE_DIAMOND_NECKLACE from amulet_frames, SPRITE_DEATH_VORTEX from sprites,,,,,,,,,,,
